ASN.SITE.NO,DAY,MONTH,YEAR,DOC,A350,SR,BA,FI,HIX,HIXOHNO,C1,C2,C3,C4,C5,C6,C7,SUVA254,CHL,DISC,DO,FieldNotes,NH4,NO3,pH,SAL,S.COND,SRP,TDN,TDP,TEMP,TP,TSS,DIC,A254,DO.PER,PP,PN,PC,C1.Per,C2.Per,C3.Per,C4.Per,C5.Per,C6.Per,C7.Per
5,,8,2005,18.751,13.93456822,0.878194425,0.546683261,1.272730351,19.01080486,0.950026998,,,,,,,,3.051458675,,0.0003125,,,,,7.87,,364,,854,14.30281,20,54.73573,,,,,,,,,,,,,,
6,,8,2005,12.631,7.568868985,0.955368741,0.608995433,1.4813205,13.15009425,0.929329093,,,,,,,,2.606196579,,0.342379562,,,,,8.22,,264,,702,3.96647,21,23.1191,,,,,,,,,,,,,,
7,,8,2005,20.923,15.32157282,0.849060567,0.535243951,1.489063819,19.86042602,0.95206234,,,,,,,,3.052696694,,0,,,,,8.37,,528,,946,6.70256,19,37.543035,,,,,,,,,,,,,,
8,,8,2005,19.116,13.78058445,1.016431417,0.55835548,1.437711286,15.78915977,0.940437758,,,,,,,,2.765427801,,0.04375,,,,,7.49,,504,,859,7.61459,19,18.205295,,,,,,,,,,,,,,
9,,8,2005,11.427,8.180270279,1.032033522,0.601757423,1.510979225,12.41499008,0.925456523,,,,,,,,2.292547211,,,,,,,7.56,,433,,775,4.726495,20,5.06366,,,,,,,,,,,,,,
10,,8,2005,4.721,1.680657767,1.332098244,0.736162809,,9.236705837,0.902312324,,,,,,,,1.348017616,,0.006,,,,,7.74,,307,,1182,0.62236,22,25.8493,,,,,,,,,,,,,,
11,,8,2005,7.22,2.793334006,1.31655871,0.702385484,,6.606374721,0.868531326,,,,,,,,1.926592896,,1.67067215,,,,,8.64,,141,,599,2.902435,24,14.40517,,,,,,,,,,,,,,
12,,8,2005,3.313,1.581136024,0.921284133,0.582891581,1.367913981,22.64147677,0.957701458,,,,,,,,1.679586304,,0.095304314,,,,,8.3,,345,,1171,0,15,3.61197,,,,,,,,,,,,,,
13,,8,2005,6.471,5.355686071,1.053893818,0.535212715,,15.79440072,0.940456345,,,,,,,,2.638286628,,0.0974189,,,,,8.2,,365,,840,4.09,20,7.86089,,,,,,,,,,,,,,
14,,8,2005,13.137,7.152767194,1.099393726,0.705717405,,7.106289041,0.87663899,,,,,,,,2.309210672,,,,,,,7.53,,626,,1463,48.807945,23,107.234755,,,,,,,,,,,,,,
16,,8,2005,9.283,4.952648875,1.335352331,0.593881699,,12.8495348,0.927795409,,,,,,,,1.62691468,,0.198912291,,,,,8.33,,475,,1400,10.806695,22,29.27278,,,,,,,,,,,,,,
17,,8,2005,15.873,10.6243651,0.889705716,0.525790505,,20.74207607,0.954006232,,,,,,,,2.772487772,,,,,,,7.22,,380,,1446,23.65,21,169.890925,,,,,,,,,,,,,,
18,,8,2005,6.822,3.798855119,1.250018693,0.645626247,,9.942912736,0.908616652,,,,,,,,1.746631753,,0.415175775,,,,,8.26,,330,,691,6.39855,21,27.22029,,,,,,,,,,,,,,
19,,8,2005,11.098,4.771182019,1.126597528,0.676442715,,7.422210451,0.881266325,,,,,,,,2.032304507,,,,,,,7.85,,281,,849,5.86959,22.5,18.266435,,,,,,,,,,,,,,
20,,8,2005,21.841,,,,,,,,,,,,,,,,,,,,,6,,191,,861,2.14241,21,22.83465,,,,,,,,,,,,,,
22,,8,2005,7.021,4.032167594,1.25568592,0.603548928,,9.043694959,0.900435049,,,,,,,,2.271590129,,,,,,,6.84,,102,,693,2.14241,24,2.988665,,,,,,,,,,,,,,
24,,8,2005,6.505,2.497027835,1.193190175,0.671847925,,9.39489339,0.903798917,,,,,,,,1.841715778,,,,,,,7.37,,172,,737,4.27048,22,7.579385,,,,,,,,,,,,,,
26,,8,2005,6.356,,,,,,,,,,,,,,,,,,,,,7.4,,49,,747,6.246545,19,8.012895,,,,,,,,,,,,,,
27,,8,2005,3.816,1.771641174,0.817645075,0.620975072,,14.23866699,0.934377462,,,,,,,,1.848787886,,,,,,,8.44,,480,,989,14.91083,15,2.63158,,,,,,,,,,,,,,
28,,8,2005,4.014,2.584184117,1.154244911,0.58257111,,12.74555483,0.927249208,,,,,,,,1.976627832,,,,,,,8.06,,535,,910,0.62236,18,5.09423,,,,,,,,,,,,,,
29,,8,2005,14.793,10.74472133,0.887454258,0.55940947,,17.77199961,0.94672917,,,,,,,,2.926703267,,,,,,,7.62,,565,,1303,6.550555,22,18.905025,,,,,,,,,,,,,,
30,,8,2005,6.151,5.526469025,1.704475122,0.568575369,,12.89627153,0.928038251,,,,,,,,2.37519142,,0.144315535,,,,,8.02,,345,,950,7.9186,19,19.147895,,,,,,,,,,,,,,
31,,8,2005,13.369,8.000199189,1.001285669,0.609835315,,13.33841512,0.930257285,,,,,,,,2.634218407,,,,,,,7.84,,420,,944,9.13464,25,13.805215,,,,,,,,,,,,,,
32,,8,2005,5.664,2.874732564,1.160253637,0.618090375,,10.056878,0.909558557,,,,,,,,2.087699958,,,,,,,8.06,,462,,1438,8.5,18,13.508425,,,,,,,,,,,,,,
33,,8,2005,4.318,1.900995707,1.029877873,0.583894292,,15.55289981,0.939587624,,,,,,,,1.849080386,,,,,,,8.31,,349,,941,2.14241,18,11.239,,,,,,,,,,,,,,
34,,8,2005,6.245,2.503397966,1.170256609,0.671168302,,9.092498263,0.900916505,,,,,,,,1.711246015,,0.01248,,,,,7.73,,530,,863,1.53439,23,27.303935,,,,,,,,,,,,,,
35,,8,2005,5.762,2.824650874,1.02314775,0.694355985,,11.50330883,0.920021171,,,,,,,,2.118706052,,0.01,,,,,8.03,,532,,713,4.57449,19,15.99358,,,,,,,,,,,,,,
38,,8,2005,6.295,4.432712537,0.921705952,0.568219149,,14.07878513,0.93368166,,,,,,,,2.623676876,,0.14,,,,,8.33,,687,,611,5.18251,21,9.07693,,,,,,,,,,,,,,
1,,7,2005,6.687,4.106384779,1.141395084,0.602793359,1.377954047,9.323646742,0.903135004,,,,,,,,2.428550632,,,,,,,8.23,,335,,,18.25674,27,27.37704,,,,,,,,,,,,,,
2,,7,2005,13.56,9.180737407,0.84134046,0.573959731,,15.04585268,0.9376786,,,,,,,,3.15492163,,0.09,,,,,7.87,,449,,,21.218235,25,65.530295,,,,,,,,,,,,,,
3,,7,2005,8.7,3.9640045,0.531937702,0.516786596,1.356229171,16.48517207,0.942808684,,,,,,,,2.463295529,,0,,,,,7.88,,320,,,3.208245,27,4.57629,,,,,,,,,,,,,,
4,,7,2005,20.27,11.28468653,0.762961362,0.540140882,,14.35557945,0.934877091,,,,,,,,2.854038142,,,,,,,8.12,,,,,9.097691,,26.921025,,,,,,,,,,,,,,
5,,7,2005,21.42,14.40487999,0.825612226,0.507527527,,19.69209975,0.951672377,,,,,,,,3.356903823,,,,,,,7.91,,725,,,10.735,26,41.817515,,,,,,,,,,,,,,
6,,7,2005,12.09,6.919344764,0.763948,0.580921514,,12.94647402,0.928297289,,,,,,,,3.050952139,,0.1934,,,,,8.16,,402,,,4.57629,30,22.056865,,,,,,,,,,,,,,
7,,7,2005,22.15,17.68965936,0.946414673,0.52682091,1.431919633,20.88627982,0.954309275,,,,,,,,3.49088003,,0,,,,,8.3,,505,,,10.9605,28,36.345335,,,,,,,,,,,,,,
8,,7,2005,14.89,12.40465665,0.992089682,0.535210295,,18.24292734,0.948032855,,,,,,,,3.396327955,,,,,,,7.91,,677,,,21.90486,31,38.92942,,,,,,,,,,,,,,
9,,7,2005,11.54,5.429767924,0.808659684,0.650845782,1.370301044,10.99058765,0.916601252,,,,,,,,2.553128347,,,,,,,7.97,,390,,,4.424285,30,14.456615,,,,,,,,,,,,,,
10,,7,2005,5.998,2.92165825,1.468555714,,,,,,,,,,,,2.515559328,,0.0071589,,,,,8.27,,358,,,5.336315,29,53.82591,,,,,,,,,,,,,,
11,,7,2005,7.318,2.939425291,1.526228588,,1.281287463,,,,,,,,,,2.14622737,,1.748775749,,,,,8.05,,193,,,10.200475,20,19.928795,,,,,,,,,,,,,,
12,,7,2005,5.899,4.723502304,0.622975899,,,,,,,,,,,,4.015963537,,0.225567972,,,,,8.29,,332,,,2.81922,20,9.13644,,,,,,,,,,,,,,
13,,7,2005,7.882,7.708120055,1.12548721,0.523227089,,18.20691789,0.947935426,,,,,,,,3.604176599,,0.140208249,,,,,8.36,,312,,,1.992205,25,8.22441,,,,,,,,,,,,,,
14,,7,2005,12.51,5.883887896,1.02410545,0.686303301,,10.64306531,0.914111965,,,,,,,,2.487387785,,,,,,,8.37,,590,,,67.81037,29,151.869135,,,,,,,,,,,,,,
15,,7,2005,12.69,6.67239366,0.589610244,0.592219788,,18.65227844,0.949115315,,,,,,,,3.097378003,,0.0035,,,,,7.67,,667,,,79.97077,23,152.781165,,,,,,,,,,,,,,
16,,7,2005,7.324,3.888097923,0.830753741,,,,,,,,,,,,2.78828934,,0.123016288,,,,,7.93,,350,,,12.861663,27,37.257365,,,,,,,,,,,,,,
17,,7,2005,25.24,26.40340889,0.851831449,0.517813738,,20.6916832,0.953899382,,,,,,,,4.588090681,,,,,,,7.52,,401,,,64.77027,32,288.977645,,,,,,,,,,,,,,
18,,7,2005,6.86,1.637271691,,0.648559006,,7.365288109,0.880458391,,,,,,,,2.26490841,,0.219725286,,,,,8.07,,354,,,15.368645,32,24.792955,,,,,,,,,,,,,,
19,,7,2005,11.83,3.735771421,0.354270388,0.657623299,,10.70856708,0.914592452,,,,,,,,2.496683975,,,,,,,8.09,,309,,,3.73766,28,28.59308,,,,,,,,,,,,,,
20,,7,2005,19.72,24.67880844,0.681569759,,,,,,,,,,,,4.295747547,,0,,,,,5.13,,18.9,,,7.464385,19,26.008995,,,,,,,,,,,,,,
22,,7,2005,6.36,5.03095902,1.425552401,,,,,,,,,,,,2.934637157,,,,,,,7.49,,86.8,,,0,26,3.816265,,,,,,,,,,,,,,
23,,7,2005,9.222,9.860475267,1.371815727,,,,,,,,,,,,3.610258997,,,,,,,7.9,,364,,,5.336315,22,9.592455,,,,,,,,,,,,,,
24,,7,2005,6.82,5.610220293,1.827263426,,,,,,,,,,,,2.709220952,,,,,,,8.31,,,,,7.61639,26,13.848595,,,,,,,,,,,,,,
26,,7,2005,1.255,8.253698415,0.871113954,,,,,,,,,,,,19.697502,,,,,,,7.17,,32.6,,,5.336315,21,12.936565,,,,,,,,,,,,,,
27,,7,2005,4.204,4.896189613,1.394518728,0.607603537,,11.65184476,0.920960143,,,,,,,,3.202392058,,,,,,,8.46,,416,,,29.2,21,6.09634,,,,,,,,,,,,,,
28,,7,2005,5.633,6.931722658,1.455380215,,,,,,,,,,,,3.325354635,,0.37825403,,,,,8.21,,329,,,1.563327,23,26.313005,,,,,,,,,,,,,,
29,,7,2005,10.05,8.436417639,1.181726302,0.61222037,,15.2312196,0.938390335,,,,,,,,3.519378203,,,,,,,7.83,,472,,,0.168145,24,16.888695,,,,,,,,,,,,,,
30,,7,2005,6.769,6.341108459,1.270407649,,,,,,,,,,,,3.216788545,,0.091264721,,,,,8.02,,635,,,16.739808,24,31.481175,,,,,,,,,,,,,,
31,,7,2005,17.56,15.52060384,1.156686444,,,,,,,,,,,,3.457893152,,,,,,,8.05,,316,,,5.944335,28,46.073655,,,,,,,,,,,,,,
32,,7,2005,12.83,11.71454191,0.866947591,,,,,,,,,,,,3.596872581,,1.20498375,,,,,7.85,,328,,,7.61639,23,106.11563,,,,,,,,,,,,,,
33,,7,2005,9.761,6.666073045,0.926685556,0.585346886,,14.03593782,0.933492675,,,,,,,,2.86849772,,,,,,,8.12,,340,,,0.331342,23,29.2011,,,,,,,,,,,,,,
34,,7,2005,4.764,3.020551313,1.965623729,,,,,,,,,,,,2.537199394,,0.014836122,,,,,8.09,,474,,,2.485949,27,23.272905,,,,,,,,,,,,,,
35,,7,2005,8.531,4.396635337,0.712618378,0.61444571,,14.19456042,0.934186974,,,,,,,,2.844133389,,0.00988428,,,,,8.18,,580,,,5.79233,26,45.769645,,,,,,,,,,,,,,
36,,7,2005,2.062,1.285331529,1.408614657,,,,,,,,,,,,2.838020431,,0,,,,,7.64,,,,,7.284964,26,42.729545,,,,,,,,,,,,,,
37,,7,2005,2.731,0.916307152,,0.566965132,,11.15508931,0.917729934,,,,,,,,1.897830008,,0.58865562,,,,,8.44,,,,,8.895714,24,20.99283,,,,,,,,,,,,,,
38,,7,2005,5.347,2.828157215,0.852567076,,,,,,,,,,,,2.742003089,,0.151817337,,,,,8.36,,,,,12.78456,29,39.23343,,,,,,,,,,,,,,
1,,6,2005,5.902,5.247770552,1.344259115,0.538332344,1.411963642,14.41359707,0.935122217,,,,,,,,3.599128476,,,,,,,7.69,,497,,,50.633805,,90.155105,,,,,,,,,,,,,,
2,,6,2005,14.08,11.46888233,1.032162531,0.577050566,1.390266686,17.94982605,0.947229067,,,,,,,,2.979729873,,0.65,,,,,7.51,,515,,,34.67328,,79.818765,,,,,,,,,,,,,,
3,,6,2005,16.66,15.94942883,0.855310145,0.484210309,1.330195063,21.6728848,0.955894452,,,,,,,,3.694615004,,,,,,,8.29,,331,,,4.728295,,18.25674,,,,,,,,,,,,,,
4,,6,2005,15.32,11.49337018,0.94824513,0.540233792,1.426745143,14.44419792,0.935250765,,,,,,,,3.139813421,,,,,,,6.58,,420,,,25.096965,,38.777415,,,,,,,,,,,,,,
5,,6,2005,18.83,19.56603481,1.002698964,0.515557523,1.365922102,21.27370018,0.955104002,,,,,,,,3.798970061,,0.0304,,,,,7.55,,580,,,15.064635,,39.385435,,,,,,,,,,,,,,
6,,6,2005,9.142,6.400292445,0.802228735,0.597307516,1.386115052,14.47308896,0.935371663,,,,,,,,3.057349874,,2.328,,,,,8.1,,545,,,12.17654,,24.184935,,,,,,,,,,,,,,
7,,6,2005,19.78,20.95181319,0.866691513,0.528563259,1.432381844,23.14327122,0.958580592,,,,,,,,4.086711147,,,,,,,7.64,,656,,,13.08857,,32.54521,,,,,,,,,,,,,,
8,,6,2005,17.31,14.13012533,0.642422626,0.517735358,1.535231243,22.27862769,0.957042141,,,,,,,,3.597927517,,0.2779,,,,,7.7,,402,,,37.10536,17,33.609245,,,,,,,,,,,,,,
9,,6,2005,9.321,4.910467256,0.561967969,0.593190426,1.413977044,14.37598799,0.934963529,,,,,,,,2.738669022,,,,,,,7.62,,408,,,4.8803,20,23.880925,,,,,,,,,,,,,,
10,,6,2005,8.882,1.135602312,,0.610052022,1.346480589,15.59279089,0.939732863,,,,,,,,2.317676459,,0.5601,,,,,7.95,,547,,,4.27228,,28.137065,,,,,,,,,,,,,,
11,,6,2005,6.281,-1.966023426,,0.638842603,1.394866025,10.05703658,0.909559854,,,,,,,,1.520560942,,,,,,,7.05,,320,,,5.032305,,17.800725,,,,,,,,,,,,,,
12,,6,2005,14.68,9.608935811,0.386935156,0.511338229,1.388292038,20.33778749,0.953134785,,,,,,,,3.269228141,,,,,,,7.88,,267,,,7.768395,,32.2412,,,,,,,,,,,,,,
13,,6,2005,13.88,15.67889965,0.78607584,0.532582914,,19.40722966,0.950997758,,,,,,,,3.976625817,,3,,,,,7.83,,239,,,6.70436,21,27.833055,,,,,,,,,,,,,,
14,,6,2005,9.084,4.699045902,,0.631013146,,11.57297183,0.920464309,,,,,,,,3.069394463,,,,,,,7.75,,622,,,85.898965,19,151.565125,,,,,,,,,,,,,,
15,,6,2005,20.14,14.83763127,0.633213673,0.555807092,,23.44313239,0.959088713,,,,,,,,3.322788708,,0.1904,,,,,7.68,,804,,,34.521275,16,58.08205,,,,,,,,,,,,,,
16,,6,2005,14.02,11.85265391,0.735807559,0.544491384,,19.94256413,0.952250355,,,,,,,,3.673513118,,1.32,,,,,7.76,,472,,,19.928795,17,38.473405,,,,,,,,,,,,,,
17,,6,2005,27.84,27.26682249,0.757904752,0.480799179,,27.21653228,0.964559784,,,,,,,,4.03077667,,,,,,,7.89,,242,,,53.065885,19,67.658365,,,,,,,,,,,,,,
18,,6,2005,8.623,10.1054186,0.892649023,0.5422063,,16.20035985,0.941861681,,,,,,,,4.227695547,,,,,,,7.12,,415,,,16.43268,19,22.664885,,,,,,,,,,,,,,
19,,6,2005,9.792,3.06901557,,0.608999087,,9.851598291,0.907847676,,,,,,,,2.350798169,,,,,,,7.96,,380,,,3.66426,,20.99283,,,,,,,,,,,,,,
20,,6,2005,18.04,21.55087742,0.732332633,0.396950275,,16.23582569,0.941981312,,,,,,,,3.967158765,,,,,,,5.01,,18.3,,,6.09634,17.5,11.87253,,,,,,,,,,,,,,
21,,6,2005,22.24,30.02443926,0.673142769,0.414202422,,22.73340616,0.957865298,,,,,,,,4.56569721,,,,,,,4.66,,25.6,,,4.27228,14,8.680425,,,,,,,,,,,,,,
22,,6,2005,7.771,5.179177121,0.494093428,0.508136816,,12.18779111,0.92417229,,,,,,,,3.207975437,,,,,,,7.5,,105.2,,,,18.5,5.79233,,,,,,,,,,,,,,
23,,6,2005,7.285,6.400487455,1.150516867,0.51976293,,22.33897471,0.957153216,,,,,,,,3.301370962,,,,,,,7.83,,402,,,0.31208,16,14.456615,,,,,,,,,,,,,,
24,,6,2005,5.688,3.489402696,1.30326449,0.590055451,,8.695592803,0.896860355,,,,,,,,2.51513175,,,,,,,8.85,,262,,,2.296215,,10.200475,,,,,,,,,,,,,,
26,,6,2005,8.071,10.33435987,0.876314214,0.451134327,,20.84502545,0.954222988,,,,,,,,4.045474733,,,,,,,7.24,,37.4,,,4.57629,14.5,,,,,,,,,,,,,,,
27,,6,2005,3.838,4.35332304,1.435464192,0.601932914,,15.29702054,0.938639091,,,,,,,,3.527007905,,1.075,,,,,8.53,,497,,,0,15,4.57629,,,,,,,,,,,,,,
28,,6,2005,1.283,2.05110826,0.746620779,0.592103774,,12.26220225,0.924597742,,,,,,,,6.028403398,,0.816,,,,,8.42,,418,,,0.776165,15,14.456615,,,,,,,,,,,,,,
29,,6,2005,19.69,17.83336414,0.977803875,0.511063739,,22.33697532,0.957149545,,,,,,,,3.660912353,,0.355,,,,,6.83,,540,,,4.27228,,26.008995,,,,,,,,,,,,,,
30,,6,2005,9.228,5.82358678,0.599154237,0.5704483,,15.79252705,0.940449701,,,,,,,,3.045830102,,0.6,,,,,8.04,,445,,,17.64872,18,38.3214,,,,,,,,,,,,,,
31,,6,2005,14,12.91501764,1.137327805,0.546247414,,14.01438082,0.933397187,,,,,,,,3.385596503,,0.89,,,,,7.94,,336,,,6.552355,17,20.38481,,,,,,,,,,,,,,
32,,6,2005,6.325,5.33191178,1.0732037,0.610836254,,11.76339266,0.921650926,,,,,,,,3.322568408,,,,,,,8.23,,475,,,11.26451,22,33.001225,,,,,,,,,,,,,,
33,,6,2005,3.749,6.15217892,2.213553039,0.589870293,,10.05879049,0.909574198,,,,,,,,3.699345324,,,,,,,8.54,,,,,1.53619,16,8.83243,,,,,,,,,,,,,,
34,,6,2005,4.395,4.083105828,1.434503584,0.674084744,,9.623146134,0.905865928,,,,,,,,2.866842441,,0.12,,,,,8.29,,659,,,3.36025,18,26.46501,,,,,,,,,,,,,,
35,,6,2005,14.89,13.68501481,0.921933341,0.562908355,,24.46426267,0.960729277,,,,,,,,3.577457905,,1.13,,,,,8.26,,672,,,22.81689,16,59.754105,,,,,,,,,,,,,,
36,,6,2005,11.61,10.74854011,1.102512032,0.566719051,,21.6176965,0.955786833,,,,,,,,3.597347702,,0.01,,,,,7.94,,583,,,4.120275,19,9.592455,,,,,,,,,,,,,,
37,,6,2005,1.543,2.56082389,1.421463927,0.558244641,,17.37015345,0.945563873,,,,,,,,4.608440693,,,,,,,8.2,,415,,,3.05624,16,20.536815,,,,,,,,,,,,,,
38,,6,2005,4.858,5.538045332,1.274403801,0.536620683,,14.14329578,0.933964177,,,,,,,,3.826275305,,0.065,,,,,8.45,,444,,,7.61639,21,15.52065,,,,,,,,,,,,,,
1,7,11,2005,7.084,4.71727491,0.962820671,0.644411361,1.356260093,9.413683223,0.903972497,,,,,,,,2.376332808,,,10.4,,,,,,,,653,0.5116,8.3,10.469225,,,,,,,,,,,,,,
