Sample Name,Month,Date,Year,DOC (mg/L),A350,BA,C1,C2,C3,C4,C5,C6,C7,E280,E280_oldmeth,FI,HIX,HIX.OHNO,SR,SUVA254,Chla,Discharge,DO,FieldNotes,NH4,NO3,pH,Salinity,SpCond,SRP,TDN,TDP,Temp,Time,TP,TSS,DIC,,
17,October,,2004,15.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,7.63,,291,,,NA,,,28.06627,,,,
18,October,,2004,4.567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,8.25,,360,,,NA,,,8.30803,,,,
19,October,,2004,10.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,8.46,,275,,,NA,,,6.40619,,,,
20,October,,2004,18.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,5.08,,15.7,,,NA,,,4.02475,,,,
21,October,,2004,19.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,4.85,,19.3,,,NA,,,7.14499,,,,
22,October,,2004,7.676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,7.36,,77.6,,,NA,,,5.25091,,,,
23,October,,2004,7.366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,8.07,,283,,,NA,,,5.01499,,,,
24,October,,2004,7.053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,8.07,,151,,,NA,,,16.29307,,,,
25,October,,2004,30.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,5.08,,NA,,,NA,,,9.54971,,,,
26,October,,2004,6.209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,6.6,,NA,,,NA,,,12.56027,,,,
27,October,,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,NA,NA,,NA,NA,,NA,,,NA,,,,
28,October,,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,NA,NA,,NA,NA,,NA,,,NA,,,,
29,October,,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,NA,NA,,NA,NA,,NA,,,NA,,,,
30,October,,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,NA,NA,,NA,NA,,NA,,,NA,,,,
31,October,,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,NA,NA,,NA,NA,,NA,,,NA,,,,
32,October,,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,NA,NA,,NA,NA,,NA,,,NA,,,,
33,October,,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,NA,NA,,NA,NA,,NA,,,NA,,,,
34,October,,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,NA,NA,,NA,NA,,NA,,,NA,,,,
35,October,,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,NA,NA,,NA,NA,,NA,,,NA,,,,
36,October,,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,NA,NA,,NA,NA,,NA,,,NA,,,,
37,October,,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,NA,NA,,NA,NA,,NA,,,NA,,,,
38,October,,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,NA,NA,,NA,NA,,NA,,,NA,,,,
39,October,,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,NA,NA,,NA,NA,,NA,,,NA,,,,
40,October,,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,NA,NA,,NA,NA,,NA,,,NA,,,,
41,October,,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,NA,NA,,NA,NA,,NA,,,NA,,,,
42,October,,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,NA,NA,,NA,NA,,NA,,,NA,,,,
43,October,,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,NA,NA,,NA,NA,,NA,,,NA,,,,
44,October,,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,NA,NA,,NA,NA,,NA,,,NA,,,,
45,October,NA,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,
46,October,NA,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,
47,October,NA,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,
48,October,NA,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,
49,October,NA,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,
50,October,NA,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,
51,October,NA,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,
52,October,NA,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,
53,October,NA,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,
54,October,NA,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,
55,October,NA,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,
55.5,October,NA,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,
56,October,NA,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,
57,October,NA,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,
58,October,NA,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,
59,October,NA,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,
60,October,NA,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,
61,October,NA,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,
1,April,,2005,6.261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,7.64,,320,,,NA,,,13.19924,,,,
2,April,,2005,7.565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,7.66,,323,,,NA,,,6.96114,,,,
3,April,,2005,8.889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,7.24,,240,,,NA,,,6.117765,,,,
4,April,,2005,7.379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,7.57,,365,,,NA,,,7.84233,,,,
5,April,,2005,8.661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,7.71,,336,,,NA,,,6.85209,,,,
6,April,,2005,7.803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,7.78,,357,,,NA,,,14.151665,,,,
7,April,,2005,10.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,7.44,,348,,,NA,,,6.411495,,,,
8,April,,2005,10.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,7.7,,375,,,NA,,,11.38087,,,,
9,April,,2005,8.382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,7.79,,440,,,NA,,,7.824155,,,,
10,April,,2005,8.713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,7.88,,394,,,NA,,,15.178255,,,,
11,April,,2005,4.252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,7.62,,250,,,NA,,,9.52908,,,,
12,April,,2005,2.574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,8.02,,334,,,NA,,,6.99749,,,,
13,April,,2005,6.136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,7.84,,227,,,NA,,,7.015665,,,,
14,April,,2005,5.473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,7.9,,598,,,NA,,,31.486725,,,,
15,April,,2005,10.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,7.64,,613,,,NA,,,21.251315,,,,
16,April,,2005,7.879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,7.78,,483,,,NA,,,17.086035,,,,
17,April,,2005,18.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,7.8,,301,,,NA,,,20.29889,,,,
18,April,,2005,5.761,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,7.77,,434,,,NA,,,11.164235,,,,
19,April,,2005,7.073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,7.75,,346,,,NA,,,6.540185,,,,
20,April,,2005,10.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,4.58,,25.6,,,NA,,,2.559585,,,,
21,April,,2005,3.215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,4.82,,20.3,,,NA,,,4,,,,
22,April,,2005,5.734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,7.1,,81.2,,,NA,,,8.02701,,,,
23,April,,2005,4.771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,7.61,,292,,,NA,,,4.48554,,,,
24,April,,2005,5.439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,7.4,,190,,,NA,,,4.81562,,,,
25,April,,2005,6.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,4.58,,20.2,,,NA,,,1.770735,,,,
26,April,,2005,5.792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,5.83,,24.1,,,NA,,,4.579345,,,,
27,April,,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,NA,NA,,NA,NA,,NA,,,NA,,,,
28,April,,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,NA,NA,,NA,NA,,NA,,,NA,,,,
29,April,,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,NA,NA,,NA,NA,,NA,,,NA,,,,
30,April,,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,NA,NA,,NA,NA,,NA,,,NA,,,,
31,April,,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,NA,NA,,NA,NA,,NA,,,NA,,,,
32,April,,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,NA,NA,,NA,NA,,NA,,,NA,,,,
33,April,,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,NA,NA,,NA,NA,,NA,,,NA,,,,
34,April,,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,NA,NA,,NA,NA,,NA,,,NA,,,,
35,April,,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,NA,NA,,NA,NA,,NA,,,NA,,,,
36,April,,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,NA,NA,,NA,NA,,NA,,,NA,,,,
37,April,,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,NA,NA,,NA,NA,,NA,,,NA,,,,
38,April,,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,NA,NA,,NA,NA,,NA,,,NA,,,,
39,April,,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,NA,NA,,NA,NA,,NA,,,NA,,,,
40,April,,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,NA,NA,,NA,NA,,NA,,,NA,,,,
41,April,,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,NA,NA,,NA,NA,,NA,,,NA,,,,
42,April,,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,NA,NA,,NA,NA,,NA,,,NA,,,,
43,April,,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,NA,NA,,NA,NA,,NA,,,NA,,,,
44,April,,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,NA,NA,,NA,NA,,NA,,,NA,,,,
45,April,NA,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,
46,April,NA,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,
47,April,NA,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,
48,April,NA,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,
49,April,NA,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,
50,April,NA,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,
51,April,NA,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,
52,April,NA,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,
53,April,NA,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,
54,April,NA,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,
55,April,NA,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,
55.5,April,NA,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,
56,April,NA,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,
57,April,NA,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,
58,April,NA,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,
59,April,NA,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,
60,April,NA,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,
61,April,NA,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,
1,August,,2005,5.757,3.697551882,0.556304442,NA,NA,NA,NA,NA,NA,NA,223.180626,1.858181671,1.463816303,14.38147618,0.934986734,1.049923021,2.335861036,,NA,,,,,8,,360,,0.545,1.071205,19,,8.70456,,,,
2,August,,2005,15.366,9.529646174,0.598258271,NA,NA,NA,NA,NA,NA,NA,245.6670905,2.045401938,1.266145497,13.32499666,0.930191956,1.006218726,2.662565376,,0,,,,,8,,390,,0.907,9.43865,21,,38.92762,,,,
3,August,,2005,10.831,9.37493581,0.514929171,NA,NA,NA,NA,NA,NA,NA,293.9551914,2.44744429,1.444935136,21.4314316,0.955419698,0.930234694,3.082965794,,0,,,,,8.16,,286,,0.546,1.53439,21,,6.462275,,,,
4,August,,2005,6.377,7.618355638,0.61244359,NA,NA,NA,NA,NA,NA,NA,392.7291521,3.269827339,1.414662154,8.028836996,0.889243764,1.044097012,3.999010356,,NA,,,,,8.27,,335,,0.705,4.726495,20,,16.883105,,,,
5,August,,2005,18.751,13.93456822,0.546683261,NA,NA,NA,NA,NA,NA,NA,282.6980206,2.353718107,1.272730351,19.01080486,0.950026998,0.878194425,3.051458675,,0.0003125,,,,,7.87,,364,,0.854,14.30281,20,,54.73573,,,,
6,August,,2005,12.631,7.568868985,0.608995433,NA,NA,NA,NA,NA,NA,NA,238.6944984,1.987348768,1.4813205,13.15009425,0.929329093,0.955368741,2.606196579,,0.342379562,,,,,8.22,,264,,0.702,3.96647,21,,23.1191,,,,
7,August,,2005,20.923,15.32157282,0.535243951,NA,NA,NA,NA,NA,NA,NA,282.3616061,2.350917149,1.489063819,19.86042602,0.95206234,0.849060567,3.052696694,,0,,,,,8.37,,528,,0.946,6.70256,19,,37.543035,,,,
8,August,,2005,19.116,13.78058445,0.55835548,NA,NA,NA,NA,NA,NA,NA,265.2326334,2.208302875,1.437711286,15.78915977,0.940437758,1.016431417,2.765427801,,0.04375,,,,,7.49,,504,,0.859,7.61459,19,,18.205295,,,,
9,August,,2005,11.427,8.180270279,0.601757423,NA,NA,NA,NA,NA,NA,NA,221.9210278,1.847694371,1.510979225,12.41499008,0.925456523,1.032033522,2.292547211,,NA,,,,,7.56,,433,,0.775,4.726495,20,,5.06366,,,,
10,August,,2005,4.721,1.680657767,0.736162809,NA,NA,NA,NA,NA,NA,NA,129.2570562,1.076182539,NA,9.236705837,0.902312324,1.332098244,1.348017616,,0.006,,,,,7.74,,307,,1.182,0.62236,22,,25.8493,,,,
11,August,,2005,7.22,2.793334006,0.702385484,NA,NA,NA,NA,NA,NA,NA,168.4603366,1.402585499,NA,6.606374721,0.868531326,1.31655871,1.926592896,,1.67067215,,,,,8.64,,141,,0.599,2.902435,24,,14.40517,,,,
12,August,,2005,3.313,1.581136024,0.582891581,NA,NA,NA,NA,NA,NA,NA,161.2472809,1.342530252,1.367913981,22.64147677,0.957701458,0.921284133,1.679586304,,0.095304314,,,,,8.3,,345,,1.171,0,15,,3.61197,,,,
13,August,,2005,6.471,5.355686071,0.535212715,NA,NA,NA,NA,NA,NA,NA,257.7914464,2.146348226,NA,15.79440072,0.940456345,1.053893818,2.638286628,,0.0974189,,,,,8.2,,365,,0.84,4.09,20,,7.86089,,,,
14,August,,2005,13.137,7.152767194,0.705717405,NA,NA,NA,NA,NA,NA,NA,211.6776592,1.762409012,NA,7.106289041,0.87663899,1.099393726,2.309210672,,NA,,,,,7.53,,626,,1.463,48.807945,23,,107.234755,,,,
15,August,,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,,,,NA,NA,,NA,NA,,NA,NA,,NA,,,,
16,August,,2005,9.283,4.952648875,0.593881699,NA,NA,NA,NA,NA,NA,NA,159.3920107,1.32708344,NA,12.8495348,0.927795409,1.335352331,1.62691468,,0.198912291,,,,,8.33,,475,,1.4,10.806695,22,,29.27278,,,,
17,August,,2005,15.873,10.6243651,0.525790505,NA,NA,NA,NA,NA,NA,NA,260.9849647,2.17293717,NA,20.74207607,0.954006232,0.889705716,2.772487772,,NA,,,,,7.22,,380,,1.446,23.65,21,,169.890925,,,,
